tool	size	bytes	run	wall_s	mbit_s	verified
atp2	8m	8388608	1	0.555	120.9	1
atp2	8m	8388608	2	0.553	121.4	1
atp2	8m	8388608	3	0.542	123.8	1
atp2-plain	8m	8388608	1	0.499	134.5	1
atp2-plain	8m	8388608	2	0.499	134.5	1
atp2-plain	8m	8388608	3	0.498	134.8	1
rsync-ssh	8m	8388608	1	1.377	48.7	1
rsync-ssh	8m	8388608	2	1.396	48.1	1
rsync-ssh	8m	8388608	3	1.404	47.8	1
scp	8m	8388608	1	1.600	41.9	1
scp	8m	8388608	2	1.584	42.4	1
scp	8m	8388608	3	1.440	46.6	1
atp2	64m	67108864	1	2.724	197.1	1
atp2	64m	67108864	2	2.696	199.1	1
atp2	64m	67108864	3	2.720	197.4	1
atp2-plain	64m	67108864	1	2.745	195.6	1
atp2-plain	64m	67108864	2	2.728	196.8	1
atp2-plain	64m	67108864	3	2.764	194.2	1
rsync-ssh	64m	67108864	1	3.769	142.4	1
rsync-ssh	64m	67108864	2	2.583	207.8	1
rsync-ssh	64m	67108864	3	2.575	208.5	1
scp	64m	67108864	1	2.625	204.5	1
scp	64m	67108864	2	2.716	197.7	1
scp	64m	67108864	3	2.601	206.4	1
atp2	256m	268435456	1	11.332	189.5	1
atp2	256m	268435456	2	10.473	205.0	1
atp2	256m	268435456	3	10.214	210.2	1
atp2-plain	256m	268435456	1	10.018	214.4	1
atp2-plain	256m	268435456	2	9.933	216.2	1
atp2-plain	256m	268435456	3	10.355	207.4	1
rsync-ssh	256m	268435456	1	6.490	330.9	1
rsync-ssh	256m	268435456	2	11.721	183.2	1
rsync-ssh	256m	268435456	3	6.563	327.2	1
scp	256m	268435456	1	6.550	327.9	1
scp	256m	268435456	2	6.746	318.3	1
scp	256m	268435456	3	6.497	330.5	1
